hora_c,hora_f,bformal,dconurb1,dconurb2,dconurb3,dmore2000,dprop_soloviv,dprop_ocupant,dinquilinos,npersonashogar,dedu_secincomp,dedu_seccomp,dedu_ter_o_mas,ddondevivia2,ddondevivia3,ddondevivia4,ddondevivia5,ddondevivia6,ddondevivia7,dmigrantefuerabarrio,antigenvivienda,nambientes,m2,dconexionagua1,dconexionagua2,dconexionagua3,dpagaelagua,dcloaca,delectricidad_med,dconexiongas,alquiler2,ingresohogar2
15.1,15.4,0,0,1,0,1,0,0,1,3,0,1,0,0,0,0,0,0,1,1,1,2,1,0,0,1,0,0,1,0,2000,12000
14.5,15.05,0,0,1,0,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,15,2,1,0,0,1,0,0,1,0,3000,13000
11.05,11.4,0,0,1,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,1,15,5,3,1,0,0,1,0,1,1,3000,25000
11,11.25,0,0,1,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,1,3,1,1,0,0,,1,1,0,4000,18000
13.3,14.05,0,0,1,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,4,2,0,0,1,0,0,0,0,3000,9500
12,12.35,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,14,2,1,1,0,0,1,0,1,0,4000,8000
10.2,10.5,0,0,1,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,,5,1,1,0,0,0,1,0,0,2500,8000
10.2,10.45,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,40,3,2,1,0,0,1,1,1,1,4000,6000
9.35,10,0,0,1,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,1,39,6,3,0,0,1,0,0,1,0,,25000
13.1,13.5,0,0,1,0,1,1,0,0,6,1,0,0,1,0,0,0,0,0,0,6,5,3,0,0,1,0,0,1,0,,12000
14,14.3,0,0,1,0,1,1,0,0,7,1,0,0,0,1,0,0,0,0,1,13,3,2,0,0,1,0,0,0,0,,15000
10,10.3,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,3,2,1,0,0,1,0,1,0,2000,5000
11,11.4,0,0,1,0,1,1,0,0,4,1,0,0,0,0,0,0,0,1,1,8,3,1,0,0,0,0,1,0,0,,12000
9.300000000000001,10.05,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,,3,2,0,0,0,0,1,0,0,2000,10000
9.35,10,0,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,1,0,0,1,0,,11000
13.4,14.1,0,0,1,0,1,0,1,0,6,0,0,0,1,0,0,0,0,0,0,30,5,4,0,0,1,0,1,0,0,500,9000
10.2,10.5,0,0,1,0,1,1,0,0,6,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,2000,8000
10.25,10.5,0,0,1,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,6,2,1,0,0,1,0,0,1,0,,8500
15,15.3,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,,3,2,1,0,0,,1,0,0,2000,6800
14.5,15.15,0,0,1,0,1,1,0,0,6,0,0,0,0,0,0,1,0,0,1,36,4,3,0,0,1,0,0,1,0,2500,25000
11.5,12.2,0,0,1,0,1,0,1,0,5,0,0,0,1,0,0,0,0,0,0,23,3,2,0,0,0,,1,1,0,3000,12000
9.4,10.1,0,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,1,1,8,6,4,1,0,0,1,0,1,0,,35000
10.15,10.5,0,0,1,0,1,1,0,0,5,1,0,0,1,0,0,0,0,0,0,20,6,3,0,0,1,0,0,1,0,2000,15000
14.1,14.4,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,1,30,5,3,1,0,0,0,1,0,0,2000,7000
10.29,10.5,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,1,23,4,3,1,0,0,1,0,1,1,,17000
11.5,12.25,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,10,4,2,1,0,0,1,1,1,1,5000,9000
10,10.3,0,0,1,0,1,0,0,1,6,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3000,6000
11,11.25,0,0,1,0,1,1,0,0,9,1,0,0,0,0,0,0,0,0,0,,6,3,1,0,0,0,1,0,0,3000,10000
15.55,16.3,1,0,1,0,1,0,0,0,5,0,0,1,0,0,0,1,0,0,1,22,6,3,1,0,0,1,0,1,1,8000,35000
15.5,16.15,1,0,1,0,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0,7,3,2,1,0,0,1,0,1,0,4000,20000
13,13.2,1,0,1,0,1,0,1,0,7,0,1,0,0,0,0,1,0,0,1,21,4,2,1,0,0,,0,1,1,4000,10000
15.3,15.55,1,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,,3,2,1,0,0,1,0,1,0,5000,35000
14.15,14.45,1,0,1,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,1,26,4,3,1,0,0,1,0,1,1,5000,19000
14.5,15.2,1,0,1,0,1,0,0,0,5,1,0,0,0,1,0,0,0,0,1,5,3,2,1,0,0,1,0,1,0,4500,16000
13.35,14,1,0,1,0,1,0,0,1,5,0,1,0,0,0,0,0,0,1,1,5,1,1,1,0,0,1,0,1,0,3000,10000
11.05,11.3,1,0,1,0,1,0,0,0,6,0,0,1,0,1,0,0,0,0,1,40,5,2,1,0,0,1,0,1,1,5000,14000
13.35,14.05,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,5,3,1,0,0,1,0,1,1,6000,20000
15.2,15.4,1,0,1,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,20,3,2,1,0,0,1,0,1,1,3000,8000
11.5,12.2,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,36,5,3,1,0,0,1,0,1,1,5000,23900
13.2,13.45,1,0,1,0,1,0,0,0,5,1,0,0,0,0,0,1,0,0,1,17,5,2,1,0,0,1,0,1,1,6000,18000
16,16.25,1,0,1,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,1,1,4,2,1,0,0,1,1,1,1,8000,20000
